date,execution_budget,K,M,S,selected,status,reliable,objective_yuan,lower_bound_yuan,gap,requested_gap,seconds,continuous_before,binary_before,constraints_before,continuous_after,binary_after,constraints_after,solver,version,audit_file
2025-02-27,original,3,26,26,True,certified_by_feasible_policy_and_global_lp_lower_bound,True,79934.828337600557,77886.888844366244,0.026293764247362739,0.029999999999999999,5.1810727000010957,180930,89856,381758,169156,77848,330226,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-02-27.json
2025-02-28,original,2,27,27,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,33883.216468530838,32965.879288092241,0.027826868272552117,0.029999999999999999,3.6553993000015907,125199,62208,264249,115335,52097,224156,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-02-28.json
2025-02-28,original,3,26,26,True,certified_by_feasible_policy_and_global_lp_lower_bound,True,79311.920158707624,77225.739385368375,0.027014060207683922,0.029999999999999999,5.2607789000030607,180930,89856,381758,168990,77678,330249,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-02-28.json
2025-03-01,original,2,27,27,True,certified_by_feasible_policy_and_global_lp_lower_bound,True,61469.48923553175,59859.498597880833,0.026896159763488473,0.029999999999999999,3.7672478999993473,125199,62208,264249,117584,54323,232532,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-03-01.json
2025-03-01,original,3,26,26,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,106077.71535188878,103791.16291059079,0.022030319125219747,0.029999999999999999,5.8984199000005901,180930,89856,381758,171000,79666,337734,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-03-01.json
2025-03-02,original,2,27,27,True,certified_by_feasible_policy_and_global_lp_lower_bound,True,89222.808796704048,86715.531699259227,0.02891381795524688,0.029999999999999999,4.1860505000004196,125199,62208,264249,119974,56740,240931,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-03-02.json
2025-03-02,original,3,26,26,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,134203.24339132832,130817.48035796058,0.025881579618435943,0.029999999999999999,6.2200824999999895,180930,89856,381758,173416,82108,346250,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-03-02.json
2025-03-03,original,2,27,27,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,90613.811709083238,88080.781957393279,0.028758029792642446,0.029999999999999999,4.2251399999986461,125199,62208,264249,120362,57128,242356,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-03-03.json
2025-03-03,original,3,26,26,True,certified_by_feasible_policy_and_global_lp_lower_bound,True,135959.56306453058,132900.22108070779,0.023019841193227999,0.029999999999999999,6.8133046000002651,180930,89856,381758,174044,82736,348577,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-03-03.json
2025-03-04,original,2,27,27,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,92251.224358528765,90234.039581087505,0.022355031280945216,0.029999999999999999,4.4688040999972145,125199,62208,264249,120778,57544,243870,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-03-04.json
