mode,date,hour,status,seconds,gap,S,rho,ESS,initial_soc,committed_slots
4-3,2025-03-12,18,Optimal,0.29369191700243391,2.7542872296020578e-16,20,0.29639188941420547,51.127281843577649,10033.273128009707,36
4-3,2025-03-13,0,Optimal,0.28426045799278654,8.3843414654549225e-16,20,0.2840220156029109,56,1356.207802674302,36
4-3,2025-03-13,6,Optimal,0.31808162500965409,0,20,0.25639997941802745,43.653416822717205,9937.4222761809833,36
4-3,2025-03-13,12,Optimal,0.24408141602179967,2.0675485160334778e-16,20,0.28463964598696245,51.349888895084256,7079.7654772672122,36
4-3,2025-03-13,18,Optimal,0.17979370799730532,0,20,0.29020567595157876,51.457357615774775,9986.2010439736296,36
4-3,2025-03-14,0,Optimal,0.21943291701609269,2.8582400703896508e-16,20,0.27684457678339874,56,1200.0000000000018,36
4-3,2025-03-14,6,Optimal,0.25375720800366253,0,20,0.278620134284081,49.232067798306083,5104.1024047464198,36
4-3,2025-03-14,12,Optimal,0.22403808400849812,5.3253476708835673e-16,20,0.27383582604550366,48.518108159785633,6666.460728783697,36
4-3,2025-03-14,18,Optimal,0.23642324999673292,2.9991617946311507e-16,20,0.28899474082165078,48.131483433917047,10056.611040604554,36
4-3,2025-03-15,0,Optimal,0.26867529097944498,3.8062067058885305e-16,20,0.29060275222997961,56,1275.1863218901544,36
4-3,2025-03-15,6,Optimal,0.25780533399665728,0,20,0.27549196176717,43.682634571959703,5221.4190133367501,36
4-3,2025-03-15,12,Optimal,0.28646470900275744,2.943518550585995e-16,20,0.27829558819682498,49.035211750497936,6266.6673899322514,36
4-3,2025-03-15,18,Optimal,0.30219641700387001,0,20,0.29857708586043347,51.689126659451162,10225.744159204136,36
4-3,2025-03-16,0,Optimal,0.2897985829913523,1.4877969731210655e-16,20,0.2802946437534668,56,1442.1625491075283,36
4-3,2025-03-16,6,Optimal,0.29257791698910296,0,20,0.24678067871496603,42.572178882269512,9939.2621291760261,36
4-3,2025-03-16,12,Optimal,0.28580295800929889,0,20,0.27126496852711407,48.254629719895362,6876.3943660143459,36
4-3,2025-03-16,18,Optimal,0.32641974999569356,0,20,0.28283511682942081,51.350005694610651,9972.2836077103311,36
4-3,2025-03-17,0,Optimal,0.29886583299958147,1.5121310442604049e-16,20,0.27352215677335628,56,1246.6337757913989,36
4-3,2025-03-17,6,Optimal,0.30279170800349675,0,20,0.26251592465286883,46.394540124873203,9908.4244003891399,36
4-3,2025-03-17,12,Optimal,0.28142600000137463,1.4668830538180225e-16,20,0.27451609869804555,51.048562924322418,6453.0751001271301,36
4-3,2025-03-17,18,Optimal,0.32758775001275353,0,20,0.30294762434292816,51.210630065672838,9988.4065806320923,36
4-3,2025-03-18,0,Optimal,0.31985937498393469,0,20,0.27693375795112674,56,1200.0000000000036,36
4-3,2025-03-18,6,Optimal,0.34487704199273139,0,20,0.26515788536481205,44.691231576508351,9920.4332679430026,36
4-3,2025-03-18,12,Optimal,0.33045866701286286,0,20,0.2850476255741049,49.877176570473708,6873.7884172863614,36
4-3,2025-03-18,18,Optimal,0.30840812498354353,0,20,0.28890507149141537,50.707343578635587,9989.457592161114,36
4-3,2025-03-19,0,Optimal,0.29254070899332874,0,20,0.27920418724136425,56,1206.945674499726,36
4-3,2025-03-19,6,Optimal,0.29851654099184088,3.4285069807592143e-16,20,0.27623267904838467,46.051610430002846,9915.5901960833398,36
4-3,2025-03-19,12,Optimal,0.30514429099275731,1.7073495615439931e-16,20,0.27928835439745264,49.105936938369226,7092.2168390818597,36
4-3,2025-03-19,18,Optimal,0.31358979200012982,0,20,0.29160823666532204,50.828712778966505,9983.9403378681272,36
4-3,2025-03-20,0,Optimal,0.32798329199431464,0,20,0.28766091082726619,56,1200.0000000000073,36
4-3,2025-03-20,6,Optimal,0.30962924999766983,1.9547836259174977e-16,20,0.26390826395098765,42.014004062000659,9882.3708005817352,36
4-3,2025-03-20,12,Optimal,0.21652516699396074,0,20,0.26439596410392818,50.084294039230997,5859.4875692842434,36
4-3,2025-03-20,18,Optimal,0.18887091698707081,0,20,0.30408893693634148,52.756521630959114,10740.873110009921,36
4-3,2025-03-21,0,Optimal,0.25408649997552857,0,20,0.28194056767472903,56,1200.0000000000018,36
4-3,2025-03-21,6,Optimal,0.19668670801911503,0,20,0.27524911701544058,47.801828880756169,4342.5054885055288,36
4-3,2025-03-21,12,Optimal,0.2540651660237927,0,20,0.28060554346109218,50.549132579419599,4163.268877620093,36
4-3,2025-03-21,18,Optimal,0.21512183401500806,3.2779979787150178e-16,20,0.29800276281646249,51.632250758296415,10163.22946183366,36
4-3,2025-03-22,0,Optimal,0.23810916600632481,0,20,0.28367276135271535,56,1377.0233224099575,36
4-3,2025-03-22,6,Optimal,0.22125554201193154,0,20,0.31520458024561582,49.235186694756024,4702.6592949922342,36
4-3,2025-03-22,12,Optimal,0.31847016699612141,2.7563362163335957e-16,20,0.27978888864748253,48.751456531200084,4850.9839939096173,36
4-3,2025-03-22,18,Optimal,0.26047675000154413,1.9728260020427506e-16,20,0.29703778838131067,51.3855130676939,10235.872924536754,36
4-3,2025-03-23,0,Optimal,0.29848774999845773,0,20,0.30361790845983183,56,1315.6401313844872,36
4-3,2025-03-23,6,Optimal,0.30258987500565127,0,20,0.27701017519298915,44.790804019161378,9888.8382302471782,36
4-3,2025-03-23,12,Optimal,0.30503158297506161,0,20,0.2960144077313881,49.477312800605247,6465.1190037313763,36
4-3,2025-03-23,18,Optimal,0.32699800000409596,1.7057323963386317e-16,20,0.30324363916649277,51.650291455363075,9998.0328445990453,36
4-3,2025-03-24,0,Optimal,0.29034874998615123,0,20,0.29776658784105831,56,1256.3841105795709,36
4-3,2025-03-24,6,Optimal,0.27238483299151994,1.7702873024901735e-16,20,0.27386369956752526,46.325893016395675,9896.0692588174243,36
4-3,2025-03-24,12,Optimal,0.30510408300324343,4.7302997023897538e-16,20,0.26813921151584469,49.242183271680204,6940.6500868158128,36
4-3,2025-03-24,18,Optimal,0.32415183298871852,0,20,0.29272081238491715,51.965921904918602,9993.3791028840569,36
4-3,2025-03-25,0,Optimal,0.31140249999589287,0,20,0.29187407010562205,56,1273.3680818038047,36
4-3,2025-03-25,6,Optimal,0.26482275000307709,0,20,0.27929120933334356,44.233319431469845,9924.8293907187035,36
4-3,2025-03-25,12,Optimal,0.27077624999219552,1.7533245507781976e-16,20,0.27942696175927617,49.104508267654374,6483.6965941886956,36
4-3,2025-03-25,18,Optimal,0.3164279579941649,0,20,0.31346368628215321,50.047866290438371,10005.285221819566,36
4-3,2025-03-26,0,Optimal,0.28150399998412468,0,20,0.29231865156458958,56,1222.1198915829773,36
4-3,2025-03-26,6,Optimal,0.29284733301028609,1.8030786527402657e-16,20,0.29262240700638115,44.22409791477056,9878.2188297605826,36
4-3,2025-03-26,12,Optimal,0.25861545800580643,0,20,0.27448274009580576,48.945691485213104,6707.771533911392,36
4-3,2025-03-26,18,Optimal,0.29522137501044199,0,20,0.28115439114604229,51.576921623473865,10006.818438750712,36
4-3,2025-03-27,0,Optimal,0.33625449999817647,0,20,0.2804235289988023,56,1200.0000000000036,36
4-3,2025-03-27,6,Optimal,0.30587920799735002,3.7624468218059285e-16,20,0.28902904182065692,42.969955844594026,9903.551799666986,36
4-3,2025-03-27,12,Optimal,0.29916104199946858,0,20,0.30300574275183917,50.607030775641448,7050,36
4-3,2025-03-27,18,Optimal,0.27095533401006833,1.8124659507108846e-16,20,0.30349836989067636,50.276570231663236,10022.463608401566,36
4-3,2025-03-28,0,Optimal,0.28419937498983927,0,20,0.28836632785670308,56,1200.0000000000055,36
4-3,2025-03-28,6,Optimal,0.21014316700166091,0,20,0.30468224027557472,48.353205882287853,5179.7251231745267,36
4-3,2025-03-28,12,Optimal,0.21475954100606032,0,20,0.28756297505535722,50.312753910262309,5382.6338324862409,36
4-3,2025-03-28,18,Optimal,0.23382241697981954,0,20,0.29554311967333974,53.043093456920076,10121.581044115945,36
4-3,2025-03-29,0,Optimal,0.21076937500038184,0,20,0.29531402232682297,56,1272.4536284301485,36
4-3,2025-03-29,6,Optimal,0.21347379198414274,0,20,0.27786575669943181,45.097783920261676,4342.8555288138768,36
4-3,2025-03-29,12,Optimal,0.29237237499910407,3.415533365185275e-16,20,0.30295992380516645,48.776696472148799,5104.0201846019236,36
4-3,2025-03-29,18,Optimal,0.28016925000702031,0,20,0.29145013956869692,50.974604635433536,9963.0006597667925,36
4-3,2025-03-30,0,Optimal,0.29284241699497215,0,20,0.29432066511160543,56,2022.6270045160463,36
4-3,2025-03-30,6,Optimal,0.32345624998561107,0,20,0.28039825426524323,46.761444634773362,9931.3809668775448,36
4-3,2025-03-30,12,Optimal,0.25776987502467819,0,20,0.29103483627847121,49.0332455704526,6783.6397604447866,36
4-3,2025-03-30,18,Optimal,0.32370558299589902,0,20,0.30194334574958559,50.694460669251924,10021.10050614495,36
