job,date,budget,K,M,S,seconds,solver,reliable,gap,time_limit,binary,constraints,audit,audit_sha256
window_56,2025-02-05,original,3,19,19,5.20179225,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00994177424292,,57456,229824,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-05.json,268466c52134852d5269e79e64d6602b9376ae6238d837ef5dcae0b33cd7ca62
window_56,2025-02-06,original,1,22,22,1.915887208,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00939432478513,,22176,88704,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-06.json,4844913a568c9f70975dd717b5113858b4f1041c03b17a7c4e31e3fcb63af770
window_56,2025-02-06,original,2,21,21,4.097218709,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00997562423345,,42336,169344,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-06.json,4844913a568c9f70975dd717b5113858b4f1041c03b17a7c4e31e3fcb63af770
window_56,2025-02-06,original,3,20,20,5.637497917,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00995617451337,,60480,241920,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-06.json,4844913a568c9f70975dd717b5113858b4f1041c03b17a7c4e31e3fcb63af770
window_56,2025-02-07,original,1,23,23,50.7709,SCIP,True,0.00887173964076,120,23184,92736,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-07.json,d4ef58e355616001f37c9905b214624362c9375f8c20c08114aaf032c1b157d6
window_56,2025-02-07,original,2,22,22,120.008294,SCIP,False,0.0118002141282,120,44352,177408,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-07.json,d4ef58e355616001f37c9905b214624362c9375f8c20c08114aaf032c1b157d6
window_56,2025-02-07,original,3,21,21,4.855429708,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00982416181274,,63504,254016,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-07.json,d4ef58e355616001f37c9905b214624362c9375f8c20c08114aaf032c1b157d6
window_56,2025-02-08,original,1,24,24,127.663673,SCIP,False,0.0111281048239,120,24192,96768,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-08.json,885691c71b879b30730f77bde419da3c4822ca67efd44a33b7d55265776be8b6
window_56,2025-02-08,original,2,23,23,3.276468792,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00986555507983,,46368,185472,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-08.json,885691c71b879b30730f77bde419da3c4822ca67efd44a33b7d55265776be8b6
window_56,2025-02-08,original,3,22,22,4.67455075,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00997808793633,,66528,266112,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-08.json,885691c71b879b30730f77bde419da3c4822ca67efd44a33b7d55265776be8b6
window_56,2025-02-09,original,1,25,25,1.84871325,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00835735368695,,25200,100800,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-09.json,39707b04dea2e8da569bfe4d13cefb170f1d108896666b257743cbf55efdb5f0
window_56,2025-02-09,original,2,24,24,3.692941042,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.0090231679724,,48384,193536,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-09.json,39707b04dea2e8da569bfe4d13cefb170f1d108896666b257743cbf55efdb5f0
window_56,2025-02-09,original,3,23,23,5.589868376,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00891154280104,,69552,278208,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-09.json,39707b04dea2e8da569bfe4d13cefb170f1d108896666b257743cbf55efdb5f0
window_56,2025-02-10,original,1,26,26,2.003488918,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00936852999764,,26208,104832,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-10.json,a8113bf2e7528c3be8e9322d6207d946e7efb0659e22fb09d6ace1978a8140d8
window_56,2025-02-10,original,2,25,25,3.900262583,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00872715247722,,50400,201600,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-10.json,a8113bf2e7528c3be8e9322d6207d946e7efb0659e22fb09d6ace1978a8140d8
