date,total_cost,emergency,net_mae,peak_net,initial_soc,median_cost_distance
2025-04-28,57466.90415537591,3665.7750487065528,69.40116759904134,835.1590333333334,7956.478544125829,13987.838972542777
2025-04-29,36356.8311722255,460.8160177580943,37.20210347394701,808.2372833333334,7909.680586917417,7122.23401060763
2025-04-30,33580.89792037756,23.399688339914846,46.5375053966931,793.8392833333334,8050.949852714017,9898.167262455572
2025-05-01,42361.733223268726,2270.0553849759535,48.58333919447936,884.4975333333333,8567.650310846742,1117.3319595644061
2025-05-02,27452.642448128565,2602.1666356362753,78.74813126949296,581.5933333333332,1654.0467886461622,16026.422734704567
2025-05-03,25743.457590214497,1678.1796685058996,40.9768991352152,596.0283333333333,1781.7088503745117,17735.607592618635
2025-05-04,42474.384611898335,1287.5138536273835,49.90500535340361,841.0280666666667,7679.039973616953,1004.6805709347973
2025-05-05,43354.47474317235,1060.1184910954607,52.94975053148133,943.0481,7864.970467590498,124.59043966078025
2025-05-06,40550.9825134644,700.0282487331789,49.94293636191464,879.97435,7654.9435336659135,2928.082669368734
2025-05-07,38335.18317996773,191.889458737203,36.29239522975133,921.9206166666665,8340.865358946778,5143.882002865401
2025-05-08,37285.68498632696,64.46326602940091,42.88868668983352,879.7715666666666,8454.927283774534,6193.380196506172
2025-05-09,16474.599803344452,1.0968502514395766,32.93472776275301,562.7788166666667,4894.2325393721185,27004.46537948868
2025-05-10,19314.1189051999,0.0,47.975411526601384,584.6916666666666,4895.809985904024,24164.946277633233
2025-05-11,38524.7936020782,27.561666666666724,38.872098583023316,860.895,9779.2505674166,4954.271580754932
2025-05-12,39245.21282152047,0.0,57.36782363470291,872.7343166666667,9400.983186520596,4233.85236131266
2025-05-13,38746.82978540784,0.0,28.096641169060298,854.8081833333332,9951.520332318241,4732.235397425291
2025-05-14,39108.087243902664,29.669641197186024,32.626176791286895,869.7999166666666,9606.294641525134,4370.977938930468
2025-05-15,35902.76060384913,18.412464619444464,38.64861968800177,836.5265166666666,9767.636454737172,7576.3045789840035
2025-05-16,15941.725904440722,18.052304126638067,52.82414017018911,594.0650833333333,4394.634703087614,27537.33927839241
2025-05-17,18926.29094219476,0.0,42.977724592671635,606.1633333333333,3976.5769361980956,24552.774240638373
2025-05-18,37896.22064232818,28.073091662034074,40.431013523763745,838.5699999999999,9240.300205547019,5582.84454050495
2025-05-19,37330.70238012249,26.703958020562254,50.10990247311799,900.3366666666667,9773.956938176816,6148.362802710639
2025-05-20,37163.53955374479,0.0,36.55911402468948,841.1655999999999,9430.021449260043,6315.525629088341
2025-05-21,37578.878188143906,102.64981552649516,46.79757245824712,836.7934166666666,9484.133286231696,5900.186994689226
2025-05-22,34288.80405612696,0.0,26.3637077773803,835.9033333333333,9380.266327317278,9190.261126706173
2025-05-23,15582.752301170178,0.0,31.423810985511878,556.1066666666666,4035.598287548745,27896.312881662954
2025-05-24,18802.364874602838,1.9106471562256502,46.98748685138739,575.9608166666667,3898.442765329102,24676.700308230294
2025-05-25,36409.811681424646,0.0,35.56958135846264,871.6566666666665,9478.904341080734,7069.253501408486
2025-05-26,36540.89644970403,44.77587694906305,50.84801337110154,836.8987999999999,9508.933319780339,6938.168733129103
2025-05-27,36825.18416588069,0.0,36.877059433207265,826.7368833333333,8597.615831877642,6653.881016952444
2025-05-28,36331.8549787775,30.754363492176424,51.00386156771319,828.7652166666667,9503.274689637043,7147.210204055635
2025-05-29,35113.44237147836,376.19529772033286,40.891514629031974,851.1507666666666,9727.456569650605,8365.62281135477
2025-05-30,16155.48979262292,32.5292502395401,42.83367496773225,544.2883333333333,3323.652912065774,27323.57539021021
