date,path,n,absolute_error_sum_kw,squared_error_sum_kw2,econ_loss_sum
2025-05-09,separate_strong_baselines,144,30390.25392857143,12059902.367745908,4075.5363359678581
2025-05-10,direct_net_week,144,44966.839200000002,29323407.207235433,4175.5536901633313
2025-05-10,separate_strong_baselines,144,41634.281385714283,23172057.398430243,4445.8226341502368
2025-05-11,direct_net_week,144,51374.355499999991,38535385.29220096,10083.746135463331
2025-05-11,separate_strong_baselines,144,36485.026171428559,14690429.229378792,6681.9830518666631
2025-05-12,direct_net_week,144,56889.558599999989,47456621.522952348,7317.3393580016673
2025-05-12,separate_strong_baselines,144,54871.430699999997,39508042.489175305,7237.8984353383366
2025-05-13,direct_net_week,144,45416.835399999996,27384939.451428387,5662.2344704083316
2025-05-13,separate_strong_baselines,144,27366.76794285715,8660978.0730013195,4528.153539371905
2025-05-14,direct_net_week,144,39897.701199999996,20381501.928089436,4642.1555105850011
2025-05-14,separate_strong_baselines,144,30684.078771428576,12218222.730548274,4693.802363699524
2025-05-15,direct_net_week,144,41165.827099999995,22239130.374434449,7930.4349341449979
2025-05-15,separate_strong_baselines,144,36735.16492857143,16530704.498832978,8065.613642391666
2025-05-16,direct_net_week,144,56934.772900000011,38921653.455117039,4804.3121220516678
2025-05-16,separate_strong_baselines,144,48608.71321428573,29632424.048019499,4723.5034389061902
2025-05-17,direct_net_week,144,48902.118399999992,33727063.251045413,4814.254500316667
2025-05-17,separate_strong_baselines,144,40372.266871428568,23757952.518775165,5157.1144432376186
2025-05-18,direct_net_week,144,47088.779299999995,31319381.865060605,6260.7282768266632
2025-05-18,separate_strong_baselines,144,38692.245099999993,19892685.517850276,7907.8744722940455
2025-05-19,direct_net_week,144,59092.724899999994,61684781.159648441,8827.3887634583298
2025-05-19,separate_strong_baselines,144,48391.55328571429,37395009.646579139,5926.5977249166654
2025-05-20,direct_net_week,144,40708.491300000002,23429650.076395698,7073.576835265003
2025-05-20,separate_strong_baselines,144,37796.272485714289,18907728.965283114,7430.2042253790496
2025-05-21,direct_net_week,144,47989.044199999997,30397666.584632751,8721.7187879000012
2025-05-21,separate_strong_baselines,144,40843.813885714277,23803503.148958642,7382.4402357311883
2025-05-22,direct_net_week,144,36296.940000000002,15577518.019302325,5936.7607766816673
2025-05-22,separate_strong_baselines,144,26385.735942857136,8943467.9230857082,6142.5367343571397
2025-05-23,direct_net_week,144,39823.846500000007,22082796.283959027,4762.7799760083326
2025-05-23,separate_strong_baselines,144,30834.32322857144,11126386.040599849,4557.1856687697618
2025-05-24,direct_net_week,144,60678.040000000001,59732803.551360682,4097.524478244999
2025-05-24,separate_strong_baselines,144,44753.002942857136,24842562.573668849,3801.5744208359511
2025-05-25,direct_net_week,144,50595.732099999987,45054481.499122858,7711.8860691766668
2025-05-25,separate_strong_baselines,144,34850.011385714279,15399982.070367165,6151.9514475914311
2025-05-26,direct_net_week,144,59330.344000000005,61000678.80812265,9514.9660337750011
2025-05-26,separate_strong_baselines,144,46870.4179,35385702.632362336,8848.9823857171432
2025-05-27,direct_net_week,144,50620.960300000006,39568536.844525784,5203.2845893066678
2025-05-27,separate_strong_baselines,144,35469.837071428585,14782558.209464923,5067.5374198640475
2025-05-28,direct_net_week,144,47497.731899999999,34581972.555710956,8849.4260841283321
2025-05-28,separate_strong_baselines,144,46703.869971428576,29350381.955743719,7229.282029913571
2025-05-29,direct_net_week,144,40949.516300000003,23084080.178768925,10440.298502876669
2025-05-29,separate_strong_baselines,144,38093.175271428583,18419661.815053161,10612.540867863812
2025-05-30,direct_net_week,144,37074.924299999999,19674284.062352173,4455.1533972116667
2025-05-30,separate_strong_baselines,144,37803.416414285712,20790920.758211005,4796.6813757802374
2025-05-31,direct_net_week,144,43843.452399999995,25998323.083144784,5364.9778759633346
2025-05-31,separate_strong_baselines,144,38058.298328571429,18509177.680470623,4662.955688178572
2025-06-01,direct_net_week,144,137899.97989999998,226581111.84108555,44890.095613001657
2025-06-01,separate_strong_baselines,144,114965.36055714288,153455565.11192676,40003.334306264995
2025-06-02,direct_net_week,144,105962.81219999999,121656987.79615143,42754.41015856
2025-06-02,separate_strong_baselines,144,102188.59435714285,111069277.55624273,42846.48306216643
2025-06-03,direct_net_week,144,113918.4216,124683743.58180769,44711.046279296665
2025-06-03,separate_strong_baselines,144,80605.275742857149,57686079.579197183,35797.735528587626
2025-06-04,direct_net_week,144,105166.3315,143938857.82682854,37418.503227491659
