date,K,M,S,initial_soc,final_soc,cost,emergency_kwh,computational_limited
2025-03-27,2,27,27,8158.7583249508316,3684.4869625807137,37092.472178124262,185.6426488699058,False
2025-03-28,2,27,27,3684.4869625807137,4062.7166862953827,15004.571035769111,32.457948824548446,False
2025-03-29,2,27,27,4062.7166862953827,8141.0896153661897,16899.76746904173,34.822908022199023,False
2025-03-30,2,27,27,8141.0896153661897,8296.6071145765636,36968.00693974796,63.32791466726529,False
2025-03-31,2,27,27,8296.6071145765636,8190.6806272526683,40803.926825400165,745.2903914932964,False
2025-04-01,2,27,27,8190.6806272526683,8124.9358642073494,58558.636412638327,3329.5964241304268,False
2025-04-02,2,27,27,8124.9358642073494,8069.625381018016,57944.798789798333,3630.3199927864898,False
2025-04-03,3,26,26,8069.625381018016,3362.4946923812363,35072.905511908764,154.26408373271562,False
2025-04-04,2,27,27,3362.4946923812363,3942.6108800572733,14394.867550998333,0,False
2025-04-05,2,27,27,3942.6108800572733,8067.5767859272446,16258.987547969627,0.78694838033368342,False
2025-04-06,2,27,27,8067.5767859272446,8430.5940160012942,36600.074855782274,83.832709424158139,False
2025-04-07,2,27,27,8430.5940160012942,8504.811176482759,36220.785134297912,4.3351832627276963,False
2025-04-08,2,27,27,8504.811176482759,7864.8673422271704,36294.773611205477,70.603737843266799,False
2025-04-09,2,27,27,7864.8673422271704,7909.0319514278035,53549.773042467299,2634.5679343020361,False
2025-04-10,2,27,27,7909.0319514278035,3347.9998540906963,34369.242445324235,173.27773326881388,False
2025-04-11,2,27,27,3347.9998540906963,3328.5275844760449,13729.786040114303,9.788782159806658,False
2025-04-12,2,27,27,3328.5275844760449,8254.0414875628012,16057.022769701729,0,False
2025-04-13,2,27,27,8254.0414875628012,7907.6847667624415,36220.61855014442,18.122029434064714,False
2025-04-14,3,26,26,7907.6847667624415,7975.525199120576,36935.5981177555,44.184247205249704,False
2025-04-15,3,26,26,7975.525199120576,8003.7015649836176,36562.222675250167,12.860377476153189,False
2025-04-16,3,26,26,8003.7015649836176,7784.782787392629,37013.513185460266,300.10543320405037,False
2025-04-17,2,27,27,7784.782787392629,3120.4211245659249,32570.708860651925,6.8704371401744879,False
2025-04-18,2,27,27,3120.4211245659249,3418.7696463253392,13431.569272683566,41.076819219136326,False
2025-04-19,3,26,26,3418.7696463253392,8570.4135318676563,15667.447427889978,30.969954751248679,False
2025-04-20,3,26,26,8570.4135318676563,8208.2695245736668,35975.287200941093,74.730905741396143,False
2025-04-21,3,26,26,8208.2695245736668,7981.7536561397928,36024.866255260888,28.865790367610646,False
2025-04-22,3,26,26,7981.7536561397928,8009.3539965780046,35345.192079177075,23.722288743997751,False
2025-04-23,3,26,26,8009.3539965780046,8829.1810534692431,35223.577402431634,23.948308879414967,False
2025-04-24,2,27,27,8829.1810534692431,2522.5112635961314,31156.213556211093,8.8337829043338161,False
2025-04-25,2,27,27,2522.5112635961314,2451.5543555087829,12398.092343670891,0,False
2025-04-26,3,26,26,2451.5543555087829,7786.2000006047519,15615.595611171555,80.588476559353666,False
2025-04-27,3,26,26,7786.2000006047519,7806.1006153261706,35064.667952841934,309.1407633712555,False
2025-04-28,3,26,26,7806.1006153261706,8044.246599465705,55185.745502398597,3415.5591653912625,False
2025-04-29,3,26,26,8044.246599465705,8000.3789611384254,35019.272820933882,182.53217950976534,False
2025-04-30,3,26,26,8000.3789611384254,8275.4118811131448,33319.551293476165,1.5733350000300277,False
2025-05-01,3,26,26,8275.4118811131448,1577.9571500051875,41250.749751062387,2052.4164974757036,False
2025-05-02,2,27,27,1577.9571500051875,1711.2133298258,32408.595612631183,3573.74474874718,False
2025-05-03,3,26,26,1711.2133298258,7598.244332876855,26044.77562108836,1849.0479482020651,False
2025-05-04,3,26,26,7598.244332876855,7486.4221053741194,42467.590595425558,1571.5377358289729,False
2025-05-05,3,26,26,7486.4221053741194,7580.0324898923418,43562.298467133718,1657.7708528631013,False
2025-05-06,2,27,27,7580.0324898923418,7577.8044685403993,37798.012356858097,337.49427775669722,False
2025-05-07,3,26,26,7577.8044685403993,7870.8631415437294,38216.028383701851,398.20081158085566,False
2025-05-08,3,26,26,7870.8631415437294,3730.9683083344689,36766.312586287473,111.91125570792499,False
2025-05-09,3,26,26,3730.9683083344689,3818.2453130534132,15272.240086332249,15.205130184316431,False
2025-05-10,2,27,27,3818.2453130534132,9359.5055028267489,18705.869713519463,3.1421479933043632,False
2025-05-11,3,26,26,9359.5055028267489,8822.6286701355148,38615.826454770686,43.792297190177557,False
2025-05-12,3,26,26,8822.6286701355148,9560.7786404921517,38840.035944664312,0,False
2025-05-13,3,26,26,9560.7786404921517,9389.7085335980755,38609.296642654153,0,False
2025-05-14,3,26,26,9389.7085335980755,9658.9635591376955,38891.536897610204,25.262263775831684,False
2025-05-15,3,26,26,9658.9635591376955,4385.4794773447156,35524.060650808817,8.0322379971568694,False
2025-05-16,2,27,27,4385.4794773447156,3486.5309561455269,14982.47401966219,23.548154306083347,False
2025-05-17,2,27,27,3486.5309561455269,9016.8789491434782,18215.904570571169,6.2086238898429293,False
2025-05-18,3,26,26,9016.8789491434782,9418.6888117203162,38660.764198316283,26.381173769428798,False
2025-05-19,3,26,26,9418.6888117203162,9046.2404813804969,38459.059627952032,29.568617630651602,False
2025-05-20,3,26,26,9046.2404813804969,8793.609535238571,37863.531225987979,2.1587653487027794,False
2025-05-21,3,26,26,8793.609535238571,9272.389839446012,38563.963077112814,52.691615517506392,False
