date,execution_budget,K,M,S,selected,status,reliable,objective_yuan,lower_bound_yuan,gap,seconds,continuous_before,binary_before,constraints_before,continuous_after,binary_after,constraints_after,solver,version,audit_file
2025-02-13,original,3,26,26,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,87009.8877717133,86506.740181711051,0.0058162819330073705,8.0947533760027,147312,78624,314496,137622,68700,280152,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-13.json
2025-02-14,original,1,28,28,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,16377.968641307711,16277.634460258327,0.0061639288739619236,2.7472497500002646,52848,28224,112896,48252,23376,96348,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-14.json
2025-02-14,original,2,27,27,True,certified_by_feasible_policy_and_global_lp_lower_bound,True,35163.004965735927,34977.356085819993,0.0053076876211120283,4.834861915998772,101952,54432,217728,93061,45298,186164,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-14.json
2025-02-14,original,3,26,26,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,84838.031150812123,84337.961653191043,0.0059293524270533395,7.5296107080012007,147312,78624,314496,137110,68188,278360,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-14.json
2025-02-15,original,1,28,28,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,16178.748492263356,16024.919808806588,0.0095993418558157489,1.4956590419988061,52848,28224,112896,48148,23272,95984,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-15.json
2025-02-15,original,2,27,27,True,certified_by_feasible_policy_and_global_lp_lower_bound,True,65957.670614530551,65500.046686933958,0.0069866198688966763,5.2703801250008837,101952,54432,217728,95809,48046,195782,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-15.json
2025-02-15,original,3,26,26,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,114938.92915086141,114196.75866723499,0.0064990503433559081,8.6842114579994814,147312,78624,314496,139610,70688,287110,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-15.json
2025-02-16,original,1,28,28,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,46650.859068977603,46376.086615156877,0.0059248736552713612,2.5721190830026899,52848,28224,112896,51184,26308,106610,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-16.json
2025-02-16,original,2,27,27,True,certified_by_feasible_policy_and_global_lp_lower_bound,True,95944.033039309652,95329.095021231711,0.0064506855744406438,5.5791783749991737,101952,54432,217728,98541,50778,205344,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-16.json
2025-02-16,original,3,26,26,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,144844.95360892653,143909.65777223755,0.0064991874149909427,9.0132358760019997,147312,78624,314496,142194,73272,296154,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-16.json
